	name	time
74	Industrial Collaboration Research Projects: Database developments for Agricultural Tractor Parts (農用曳引機零件資料庫程式開發)	08/01/2002 - 12/31/2003
75	Teaching Research For Deep Learning Framework Inferencing On GPU Embedded System (深度學習框架應用實作於GPU嵌入式系統之教學實踐研究) 教育部教學實踐研究計畫	08/01/2021 - 07/31/2022
76	Development of ANN-based Ganoderma Disease Detection Algorithm (基於人工神經網絡的靈芝病檢測算法之開發)	04/01/2019 - 09/30/2019
77	Visualization of YOLO object detection algorithm (電腦視覺YOLO物體辨識技術視覺化展示系統)	11/01/2018 - 01/31/2020
78	The Improvement Programs of General Education and Foreign Language Abilities for Technological and Vocational Education (提升技職校院學生通識教育及語文應用能力改善計畫)	08/01/2007 - 07/31/2009
79	An Integrated Track for Development of DSP Embedded Systems (嵌入式 DSP 教學整合學程計畫)	08/01/2004 - 07/31/2005
80	An Integrated Track for Development of Reconfigurable Embedded Systems (可重組嵌入式系統設計應用整合學程發展計劃 )	08/01/2003 - 07/31/2004
81	An Integrated Track for Development of System on a Programmable Chip (SOPC系統設計應用整合學程發展計劃)	08/01/2002 - 07/31/2003
82	An Integrated Track for Development of VLSI (超大型積體電路系統設計整合學程發展計劃)	08/01/2001 - 07/31/2002
83	Frequency Modulated Continuous Wave	08/01/2009 - 07/31/2010
